gene,locus,sample_1,sample_2,status,value_1,value_2,log2.fold_change.,test_stat,p_value,q_value
LRRC38,chr1:13801444-13840242,E3,E4,NOTEST,0.0180515,0.00671564,-1.42652,0,1,1
LRRC39,chr1:100598705-100643829,E3,E4,OK,1.74202,1.50514,-0.210864,-0.467953,0.3999,0.514133
LRRC3B,chr3:26664299-26752265,E3,E4,NOTEST,0,0.0285845,Inf,0,1,1
LRRC3C,chr17:38097726-38100987,E3,E4,NOTEST,0.0649254,0.0424819,-0.611936,0,1,1
LRRC4,chr7:127292201-127732659,E3,E4,OK,5.69394,11.113,0.964745,2.15945,5.00E-04,0.00145584
LRRC40,chr1:70610484-70671361,E3,E4,OK,14.2891,10.8699,-0.39457,-2.475,1.00E-04,0.00032265
LRRC41,chr1:46713366-46769038,E3,E4,OK,47.5623,38.6826,-0.298132,-1.99055,0.00045,0.00131916
LRRC42,chr1:54411998-54433841,E3,E4,OK,17.9797,19.9139,0.147405,0.907118,0.1179,0.190957
LRRC43,chr12:122652265-122688018,E3,E4,OK,1.5838,0.59083,-1.42258,-3.21097,5.00E-05,0.000167183
LRRC45,chr17:79981279-79989027,E3,E4,OK,6.13174,5.84412,-0.0693117,-0.380787,0.50595,0.616415
LRRC46,chr17:45908992-45918699,E3,E4,OK,0.509565,0.775826,0.606465,0.737258,0.1972,0.292306
LRRC47,chr1:3696783-3713068,E3,E4,OK,22.5378,19.8767,-0.181269,-1.18133,0.0364,0.0693115
LRRC48,chr17:17876126-17920189,E3,E4,OK,1.16515,2.0111,0.787468,2.84486,5.00E-05,0.000167183
LRRC49,chr15:71184927-71342436,E3,E4,OK,8.21289,9.87562,0.265981,1.58895,0.00605,0.0140611
LRRC4B,chr19:51020149-51071302,E3,E4,OK,27.7032,34.6397,0.322374,2.16028,0.00015,0.000473552
LRRC4C,chr11:40135750-41481186,E3,E4,OK,0.138412,1.42959,3.36855,4.99392,5.00E-05,0.000167183
LRRC52,chr1:165446078-165551341,E3,E4,NOTEST,0,0.0124581,Inf,0,1,1
LRRC55,chr11:56949220-56959188,E3,E4,OK,0.209436,1.6092,2.94176,9.1096,5.00E-05,0.000167183
LRRC56,chr11:537521-560779,E3,E4,OK,1.20919,1.25847,0.0576266,0.172941,0.7643,0.835391
LRRC57,chr15:42834719-42841002,E3,E4,OK,8.88331,7.16484,-0.310163,-1.77365,0.0024,0.00612887
LRRC58,chr3:120043575-120068186,E3,E4,OK,12.9398,12.7512,-0.0211889,-0.142662,0.79955,0.861449
LRRC59,chr17:48450580-48474914,E3,E4,OK,28.2639,39.7744,0.49288,3.27996,5.00E-05,0.000167183
LRRC6,chr8:133584200-133687863,E3,E4,OK,0.578097,1.76443,1.60982,3.91242,5.00E-05,0.000167183
LRRC61,chr7:149944300-150035245,E3,E4,OK,4.83547,10.5804,1.12966,5.56918,5.00E-05,0.000167183
LRRC66,chr4:52859865-52883786,E3,E4,NOTEST,0.0274464,0.105364,1.94069,0,1,1
LRRC69,chr8:92114846-92231464,E3,E4,NOTEST,0.149024,0.190308,0.352788,0,1,1
LRRC7,chr1:70225857-70589171,E3,E4,NOTEST,0.0066878,0.295073,5.4634,0,1,1
LRRC70,chr5:61708572-61924416,E3,E4,NOTEST,0.389023,0.184155,-1.07893,0,1,1
LRRC71,chr1:156890423-156902880,E3,E4,NOTEST,0,0.0169019,Inf,0,1,1
LRRC72,chr7:16566504-16621114,E3,E4,NOTEST,0,0,0,0,1,1
LRRC73,chr6:43474702-43478081,E3,E4,OK,1.74099,1.63707,-0.0887889,-0.29751,0.59545,0.696784
LRRC8A,chr9:131644390-131680317,E3,E4,OK,24.2672,26.5748,0.131051,0.884131,0.1199,0.193635
LRRC8B,chr1:89990396-90063420,E3,E4,OK,1.1178,3.8984,1.80223,9.80139,5.00E-05,0.000167183
LRRC8C,chr1:90098643-90185094,E3,E4,OK,0.342682,0.952215,1.47442,5.8007,5.00E-05,0.000167183
LRRC8D,chr1:90286572-90401989,E3,E4,OK,24.6766,20.4869,-0.268439,-1.79073,0.0016,0.00423488
LRRC8E,chr19:7953389-7966908,E3,E4,OK,1.75474,2.98814,0.767988,3.65392,5.00E-05,0.000167183
LRRC9,chr14:60386430-60530277,E3,E4,NOTEST,0.0102938,0.37136,5.17297,0,1,1
LRRCC1,chr8:86019322-86058314,E3,E4,OK,12.1007,14.1986,0.230656,1.49349,0.00855,0.0191721
LRRD1,chr7:91774197-91794590,E3,E4,NOTEST,0.0217499,0.0104928,-1.0516,0,1,1
LRRFIP1,chr2:238536223-238690290,E3,E4,OK,26.4335,18.7926,-0.492204,-3.2742,5.00E-05,0.000167183
LRRFIP2,chr3:37094116-37217851,E3,E4,OK,8.8863,11.2975,0.346344,2.09174,0.00035,0.00104344
LRRIQ1,chr12:85430098-85638883,E3,E4,OK,0.929503,2.98918,1.68522,7.97799,5.00E-05,0.000167183
LRRIQ3,chr1:74491701-74663871,E3,E4,NOTEST,0.103817,0.0851098,-0.286647,0,1,1
LRRIQ4,chr3:169539709-169555560,E3,E4,NOTEST,0,0,0,0,1,1
LRRK1,chr15:101459459-101610317,E3,E4,OK,0.637761,0.118249,-2.43119,-6.78335,5.00E-05,0.000167183
LRRK2,chr12:40618812-40763086,E3,E4,NOTEST,0.0266349,0.0757056,1.50708,0,1,1
LRRN1,chr3:3841120-3889387,E3,E4,OK,47.3043,16.7085,-1.50139,-10.0706,5.00E-05,0.000167183
LRRN2,chr1:204586302-204654597,E3,E4,OK,0.36611,6.82746,4.221,13.5827,5.00E-05,0.000167183
LRRN3,chr7:110303105-111202573,E3,E4,OK,23.0382,34.923,0.600154,3.76958,5.00E-05,0.000167183
LRRN4,chr20:6021191-6034726,E3,E4,NOTEST,0,0.0108589,Inf,0,1,1
LRRN4CL,chr11:62453873-62457371,E3,E4,OK,0.811698,0.823756,0.0212728,0.0691057,0.8989,0.931279
LRRTM1,chr2:79740059-80875988,E3,E4,NOTEST,0.00603229,0.225251,5.22268,0,1,1
LRRTM2,chr5:138089106-138270723,E3,E4,OK,6.57214,1.72607,-1.92887,-1.75329,0.011,0.0240272
LRRTM3,chr10:67679724-69455949,E3,E4,NOTEST,0.0251266,0.233967,3.21902,0,1,1
LRRTM4,chr2:76974849-77749502,E3,E4,NOTEST,0.0418595,0.1357,1.69679,0,1,1
LRSAM1,chr9:130213764-130265780,E3,E4,OK,9.5231,13.042,0.453665,2.7981,5.00E-05,0.000167183
LRTM1,chr3:54156692-55108584,E3,E4,NOTEST,0.0775555,0.0780829,0.00977712,0,1,1
LRTM2,chr12:1901122-2027870,E3,E4,NOTEST,0.00712256,0.0204037,1.51836,0,1,1
LRTOMT,chr11:71709957-71823822,E3,E4,OK,5.62789,4.96066,-0.18206,-0.226297,0.7102,0.793608
LRWD1,chr7:102105389-102119381,E3,E4,OK,12.06,14.8439,0.299642,1.42347,0.0131,0.028086
LSAMP,chr3:115521209-116164385,E3,E4,OK,7.02954,5.07577,-0.469802,-3.07372,5.00E-05,0.000167183
LSAMP-AS3,chr3:116428634-116435887,E3,E4,NOTEST,0,0,0,0,1,1
LSG1,chr3:194361516-194393206,E3,E4,OK,10.5947,11.7801,0.153,0.969458,0.0867,0.147197
LSM1,chr8:38020838-38070819,E3,E4,OK,36.8123,43.5826,0.243564,1.11761,0.05065,0.0924248
LSM10,chr1:36859030-36863493,E3,E4,OK,40.776,55.0992,0.434312,2.69005,5.00E-05,0.000167183
LSM11,chr5:157170754-157183746,E3,E4,OK,1.03457,0.950435,-0.122374,-0.422354,0.464,0.5778
LSM12,chr17:42112002-42144987,E3,E4,OK,34.6042,35.4062,0.0330528,0.220854,0.69295,0.779927
LSM14A,chr19:34663351-34720420,E3,E4,OK,45.1915,32.6251,-0.470069,-3.1884,5.00E-05,0.000167183
LSM14B,chr20:60697516-60710434,E3,E4,OK,24.1691,19.8861,-0.281402,-1.83509,7.00E-04,0.00197903
LSM2,chr6_qbl_hap6:3058813-3068398,E3,E4,OK,36.9239,37.8662,0.0363546,0.220098,0.70585,0.790502
LSM3,chr3:14220227-14239869,E3,E4,OK,60.4846,61.6353,0.0271899,0.168018,0.77075,0.840403
LSM4,chr19:18417039-18434001,E3,E4,OK,46.1,58.486,0.343326,2.30764,5.00E-05,0.000167183
LSM5,chr7:32524944-32534870,E3,E4,OK,15.2309,14.1417,-0.107048,-0.65943,0.2524,0.356757
LSM6,chr4:147096834-147111213,E3,E4,OK,19.6471,17.0038,-0.208455,-1.07751,0.0575,0.103289
LSM7,chr19:2321519-2328614,E3,E4,OK,124.074,117.122,-0.0831853,-0.528311,0.35025,0.462994
LSMD1,chr17:7760002-7765600,E3,E4,OK,52.0074,46.3781,-0.165274,-0.88866,0.12565,0.201285
LSP1,chr11:1874199-1913493,E3,E4,NOTEST,0.236769,0.156123,-0.60079,0,1,1
LSP1P3,chr5:28926976-28927420,E3,E4,NOTEST,0,0,0,0,1,1
LSR,chr19:35739558-35758867,E3,E4,OK,1.81827,2.50654,0.46313,1.73879,0.00175,0.00459246
LSS,chr21:47608359-47648738,E3,E4,OK,109.923,70.8169,-0.63433,-4.32241,5.00E-05,0.000167183
LST1,chr6_ssto_hap7:2884757-2891563,E3,E4,NOTEST,0.149137,0.0848478,-0.81369,0,1,1
LTA,chr6_ssto_hap7:2870676-2872901,E3,E4,NOTEST,0.0484154,0.0332417,-0.542472,0,1,1
LTA4H,chr12:96394530-96437298,E3,E4,OK,53.0725,46.0162,-0.205823,-1.39232,0.0162,0.0338481
LTB,chr6_ssto_hap7:2879136-2881003,E3,E4,NOTEST,0,0.02226,Inf,0,1,1
LTB4R,chr14:24774392-24787242,E3,E4,OK,1.0145,0.571265,-0.828536,-1.98,0.00125,0.00338626
LTB4R2,chr14:24774392-24787242,E3,E4,OK,0.645077,0.586593,-0.137111,-0.124438,0.8273,0.881828
LTBP1,chr2:33172368-33624575,E3,E4,OK,6.69181,10.4912,0.648713,4.1504,5.00E-05,0.000167183
LTBP2,chr14:74964885-75079034,E3,E4,OK,0.510845,1.32288,1.37272,6.16253,5.00E-05,0.000167183
LTBP3,chr11:65292547-65325699,E3,E4,OK,37.028,53.0905,0.519839,3.11085,5.00E-05,0.000167183
LTBP4,chr19:41099071-41135725,E3,E4,OK,12.645,14.6767,0.214956,1.41907,0.01235,0.0266293
LTBR,chr12:6456008-6500737,E3,E4,NOTEST,0.150584,0.370947,1.30064,0,1,1
LTC4S,chr5:179220985-179223513,E3,E4,OK,1.1921,0.416133,-1.51839,-1.7017,0.0186,0.0382852
LTF,chr3:46477495-46506598,E3,E4,NOTEST,0,0,0,0,1,1
LTK,chr15:41795839-41806085,E3,E4,OK,0.638525,0.077895,-3.03514,-2.92906,5.00E-05,0.000167183
LTN1,chr21:30300465-30365277,E3,E4,OK,8.07587,6.42131,-0.33075,-2.1616,2.00E-04,0.000620378
LTV1,chr6:144164507-144184943,E3,E4,OK,17.2795,19.005,0.13732,0.846811,0.1328,0.21086
LUC7L,chr16:238969-279449,E3,E4,OK,41.6675,43.6984,0.0686567,0.449599,0.4346,0.548747
LUC7L2,chr7:139025104-139112272,E3,E4,OK,15.3762,16.251,0.0798339,0.281438,0.6115,0.710281
LUC7L3,chr17:48796925-48830072,E3,E4,OK,149.52,118.683,-0.333221,-2.19164,0.00035,0.00104344
LUM,chr12:91497231-91505542,E3,E4,OK,0.521245,16.6138,4.99428,15.7166,5.00E-05,0.000167183
LURAP1,chr1:46654352-46686928,E3,E4,OK,1.94145,1.4367,-0.434372,-0.426056,0.44955,0.563524
LURAP1L,chr9:12775011-12823059,E3,E4,OK,0.505209,1.16052,1.19983,3.60468,5.00E-05,0.000167183
LUST,chr3:50126340-50156397,E3,E4,OK,16.8802,11.1971,-0.592212,-1.24589,0.03365,0.0646292
LUZP1,chr1:23410515-23495351,E3,E4,OK,5.63228,8.55913,0.603743,3.98557,5.00E-05,0.000167183
LUZP2,chr11:24518515-25104186,E3,E4,NOTEST,0.258101,0.323753,0.326959,0,1,1
LUZP4,chrX:114524291-114542121,E3,E4,NOTEST,0,0,0,0,1,1
LXN,chr3:158362316-158410360,E3,E4,OK,6.62636,8.18718,0.30515,0.581216,0.31515,0.426336
LY6D,chr8:143866297-143868008,E3,E4,NOTEST,0,0,0,0,1,1
LY6E,chr8:144099901-144103827,E3,E4,OK,15.2481,38.0241,1.31829,7.79838,5.00E-05,0.000167183
LY6G5B,chr6_ssto_hap7:2969532-2971032,E3,E4,OK,3.39004,4.01164,0.242889,0.800882,0.1672,0.255901
LY6G5C,chr6_ssto_hap7:2975265-2978956,E3,E4,OK,0.962594,0.619648,-0.635477,-0.88577,0.13135,0.208931
LY6G6C,chr6_ssto_hap7:3017241-3020328,E3,E4,NOTEST,0,0.0796086,Inf,0,1,1
LY6G6D,chr6_ssto_hap7:3013949-3016398,E3,E4,NOTEST,0.0811394,0,#NAME?,0,1,1
LY6G6E,chr6_ssto_hap7:3010569-3012659,E3,E4,NOTEST,0,0,0,0,1,1
LY6G6F,chr6_ssto_hap7:3005496-3009187,E3,E4,NOTEST,0,0,0,0,1,1
LY6H,chr8:144239330-144242053,E3,E4,OK,0.727399,15.173,4.38261,6.92068,5.00E-05,0.000167183
LY6K,chr8:143781528-143808391,E3,E4,NOTEST,0.0410881,0.00971744,-2.08007,0,1,1
LY75,chr2:160625138-160761267,E3,E4,NOTEST,0.134603,0.163064,0.276733,0,1,1
LY75-CD302,chr2:160625138-160761267,E3,E4,NOTEST,1.26E-185,6.05E-141,148.428,0,1,1
LY86,chr6:6346697-6655216,E3,E4,NOTEST,0,0,0,0,1,1
LY86-AS1,chr6:6346697-6655216,E3,E4,OK,0.509635,0.535789,0.0721996,0.165428,0.77225,0.841146
LY9,chr1:160765863-160798045,E3,E4,NOTEST,0.032447,0.019508,-0.73402,0,1,1
LY96,chr8:74903563-74941307,E3,E4,NOTEST,0.0376146,0.398426,3.40495,0,1,1
LYAR,chr4:4269428-4291896,E3,E4,OK,7.27519,9.43809,0.37551,1.90679,0.001,0.00274895
LYG1,chr2:99900700-99917639,E3,E4,OK,1.28027,1.03144,-0.311785,-0.696197,0.22315,0.32322
LYG2,chr2:99858710-99871570,E3,E4,NOTEST,0.170582,0.0233672,-2.86791,0,1,1
LYL1,chr19:13209841-13213974,E3,E4,OK,1.612,0.122403,-3.71914,-4.57651,5.00E-05,0.000167183
LYN,chr8:56792385-56925006,E3,E4,OK,0.66274,1.63037,1.29868,5.06746,5.00E-05,0.000167183
LYNX1,chr8:143845755-143859640,E3,E4,OK,0.525458,0.977819,0.895994,2.34717,5.00E-05,0.000167183
LYPD1,chr2:133174146-133429070,E3,E4,OK,435.244,270.35,-0.686996,-4.68145,5.00E-05,0.000167183
LYPD2,chr8:143831627-143833952,E3,E4,NOTEST,0,0,0,0,1,1
LYPD3,chr19:43964945-43969831,E3,E4,NOTEST,0.285401,0.357495,0.324934,0,1,1
LYPD4,chr19:42341149-42348508,E3,E4,NOTEST,0.0285641,0.00978099,-1.54615,0,1,1
LYPD5,chr19:44300078-44324808,E3,E4,NOTEST,0.0053341,0.0176696,1.72795,0,1,1
LYPD6,chr2:150186498-150330659,E3,E4,OK,4.16302,4.16196,-0.000367679,-0.0020721,0.9951,0.996486
LYPD6B,chr2:149894980-150071772,E3,E4,NOTEST,0.0236005,0.223592,3.24398,0,1,1
LYPD8,chr1:248902716-248903151,E3,E4,NOTEST,0,0,0,0,1,1
LYPLA1,chr8:54958937-55014577,E3,E4,OK,27.3436,21.034,-0.378477,-2.48009,5.00E-05,0.000167183
LYPLA2,chr1:24117645-24122029,E3,E4,OK,16.666,23.1621,0.474858,2.90686,5.00E-05,0.000167183
LYPLAL1,chr1:219347191-219386207,E3,E4,OK,10.5836,12.3772,0.225856,1.31203,0.02045,0.0417065
LYRM1,chr16:20869395-20936328,E3,E4,OK,16.4697,17.8684,0.117595,0.530795,0.3541,0.466857
LYRM2,chr6:90142896-90348474,E3,E4,OK,22.62,19.982,-0.178897,-0.94099,0.09835,0.163899
LYRM4,chr6:5108652-5261172,E3,E4,OK,27.199,27.7474,0.0287998,0.170236,0.76505,0.836029
LYRM5,chr12:25348149-25357949,E3,E4,OK,42.0603,39.1515,-0.10339,-0.655731,0.25355,0.358014
LYRM7,chr5:130506640-130541119,E3,E4,OK,4.62572,3.69493,-0.324133,-1.95592,0.00075,0.00210502
LYRM9,chr17:26205339-26220409,E3,E4,OK,3.83206,4.36074,0.186452,0.79675,0.16505,0.253201
LYSMD1,chr1:151129104-151148547,E3,E4,OK,7.47207,6.22281,-0.263941,-0.95576,0.09935,0.165437
LYSMD2,chr15:52015260-52043650,E3,E4,OK,4.39761,4.96587,0.175327,0.718033,0.214,0.312394
LYSMD3,chr5:89811444-89825401,E3,E4,OK,4.76417,5.70794,0.260745,1.53727,0.00755,0.017141
LYSMD4,chr15:100267611-100273626,E3,E4,OK,2.05836,1.88722,-0.125229,-0.53601,0.34665,0.459401
LYST,chr1:235824344-236030220,E3,E4,OK,2.02755,1.85224,-0.130467,-0.791156,0.1661,0.254501
LYVE1,chr11:10562782-10715535,E3,E4,NOTEST,0,0,0,0,1,1
LYZ,chr12:69742133-69748013,E3,E4,OK,1.37296,1.39637,0.0243979,0.0771776,0.8848,0.921857
LYZL1,chr10:29577989-29600158,E3,E4,NOTEST,0,0,0,0,1,1
LYZL2,chr10:30900707-30918647,E3,E4,NOTEST,0,0,0,0,1,1
LYZL4,chr3:42438574-42452065,E3,E4,NOTEST,0,0,0,0,1,1
LYZL6,chr17:34261522-34270703,E3,E4,NOTEST,0,0,0,0,1,1
LZIC,chr1:9989775-10002826,E3,E4,OK,19.9544,17.6656,-0.175762,-1.04644,0.07025,0.122803
LZTFL1,chr3:45864809-45957216,E3,E4,OK,7.71712,7.1317,-0.113816,-0.698069,0.2266,0.327306
LZTR1,chr22:21336557-21353326,E3,E4,OK,12.4547,11.5386,-0.110227,-0.715886,0.20855,0.306095
LZTS1,chr8:20103675-20112803,E3,E4,OK,2.96233,32.3793,3.45027,21.1246,5.00E-05,0.000167183
LZTS1-AS1,chr8:20133283-20147969,E3,E4,NOTEST,0.02346,0.0599785,1.35424,0,1,1
LZTS2,chr10:102756863-102790914,E3,E4,OK,10.0628,12.7478,0.341226,2.02679,0.00015,0.000473552
M1,chr10:61496747-61513203,E3,E4,OK,1.11078,0.646782,-0.780216,-0.890155,0.09385,0.157529
M1AP,chr2:74785009-74875164,E3,E4,NOTEST,0.0567273,0.0671588,0.243534,0,1,1
M6PR,chr12:9067315-9102357,E3,E4,OK,126.419,83.1203,-0.604937,-3.39944,5.00E-05,0.000167183
MAATS1,chr3:119421868-119485949,E3,E4,OK,0.767988,1.80742,1.23478,5.09388,5.00E-05,0.000167183
MAB21L1,chr13:35516423-36705514,E3,E4,NOTEST,0.183238,0.0369453,-2.31025,0,1,1
MAB21L2,chr4:151185810-151936649,E3,E4,OK,2.22179,0.0997972,-4.47658,-2.54286,0.1247,0.200103
MAB21L3,chr1:116654375-116677861,E3,E4,OK,8.98089,9.24131,0.0412388,0.252124,0.6588,0.751918
MACC1,chr7:20174278-20257013,E3,E4,NOTEST,0.165587,0.192595,0.217977,0,1,1
MACC1-AS1,chr7:20174278-20257013,E3,E4,NOTEST,0,0.0262526,Inf,0,1,1
MACF1,chr1:39547088-39952810,E3,E4,OK,17.4724,35.0139,1.00285,6.70541,5.00E-05,0.000167183
MACROD1,chr11:63766029-63933585,E3,E4,OK,16.4496,13.0077,-0.338695,-1.79261,0.002,0.00518277
MACROD2,chr20:13976145-16033841,E3,E4,OK,0.974786,6.14701,2.65673,9.81105,5.00E-05,0.000167183
MACROD2-AS1,chr20:13976145-16033841,E3,E4,NOTEST,0.0310772,0.0494647,0.670544,0,1,1
MAD1L1,chr7:1855427-2272583,E3,E4,OK,7.51425,7.83192,0.0597378,0.34751,0.5463,0.653345
MAD2L1,chr4:120980578-120988013,E3,E4,OK,10.3629,9.9588,-0.0573821,-0.306899,0.59,0.692015
MAD2L1BP,chr6:43597278-43608688,E3,E4,OK,20.0056,20.5032,0.0354468,0.210675,0.71265,0.795345
MAD2L2,chr1:11734536-11751678,E3,E4,OK,50.7882,48.6369,-0.0624433,-0.403617,0.47935,0.592032
MADCAM1,chr19:496489-505343,E3,E4,NOTEST,0.143511,0.0385162,-1.89763,0,1,1
MADD,chr11:47290926-47351582,E3,E4,OK,11.6909,8.00813,-0.545848,-3.55332,5.00E-05,0.000167183
MAEA,chr4:1283671-1333925,E3,E4,OK,26.9491,30.1288,0.160907,1.05515,0.06345,0.112439
MAEL,chr1:166958518-166991447,E3,E4,OK,0.0587957,1.3958,4.56924,3.61633,0.0026,0.00656632
MAF,chr16:79627744-79634622,E3,E4,OK,12.0969,23.0605,0.930787,6.07511,5.00E-05,0.000167183
MAF1,chr8:145159304-145162515,E3,E4,OK,41.2124,39.8839,-0.0472741,-0.312305,0.5808,0.684307
MAFA,chr8:144510229-144512602,E3,E4,NOTEST,0.092814,0.294558,1.66613,0,1,1
MAFB,chr20:39314516-39317876,E3,E4,OK,0.152923,1.95827,3.6787,7.97432,5.00E-05,0.000167183
MAFF,chr22:38597938-38612517,E3,E4,OK,19.7749,18.0217,-0.133938,-0.848016,0.1389,0.219003
MAFG,chr17:79876144-79885587,E3,E4,OK,8.81149,9.19714,0.0617997,0.397747,0.48615,0.598278
MAFG-AS1,chr17:79885704-79888629,E3,E4,OK,1.85782,2.2858,0.299094,1.12065,0.0551,0.0995823
MAFIP,chr4_gl000194_random:53588-115071,E3,E4,NOTEST,0,0,0,0,1,1
MAFK,chr7:1570367-1596066,E3,E4,OK,5.47672,6.91228,0.33585,1.63736,0.0037,0.00899678
MAG,chr19:35782988-35804709,E3,E4,NOTEST,0,0,0,0,1,1
MAGEA1,chrX:152481521-152486116,E3,E4,NOTEST,0,0,0,0,1,1
MAGEA10,chrX:151282520-151307050,E3,E4,OK,0.533067,0.379112,-0.491693,-1.12069,0.03675,0.0699162
"MAGEA10-MAGEA5,MAGEA5",chrX:151282520-151307050,E3,E4,NOTEST,0,1.47E-37,Inf,0,1,1
MAGEA11,chrX:148769902-148798928,E3,E4,NOTEST,0,0.009243,Inf,0,1,1
MAGEA12,chrX:151895977-151903184,E3,E4,OK,0,2.42268,Inf,NA,5.00E-05,0.000167183
"MAGEA2,MAGEA2B",chrX:151918387-151922364,E3,E4,NOTEST,0,0.109241,Inf,0,1,1
MAGEA2B,chrX:151918387-151922364,E3,E4,NOTEST,0,0,0,0,1,1
MAGEA3,chrX:151934651-151938240,E3,E4,OK,0.0159349,1.05518,6.04916,2.62897,0.23575,0.338065
MAGEA4,chrX:151081360-151093642,E3,E4,OK,0,0.46463,Inf,NA,5.00E-05,0.000167183
MAGEA5,chrX:151282520-151307050,E3,E4,NOTEST,0,0.062772,Inf,0,1,1
MAGEA6,chrX:151867244-151870814,E3,E4,NOTEST,0,0.125311,Inf,0,1,1
MAGEA8,chrX:149009940-149014609,E3,E4,NOTEST,0.00743429,0.00826279,0.152433,0,1,1
"MAGEA9,MAGEA9B",chrX:148863592-148869399,E3,E4,NOTEST,0,0,0,0,1,1
MAGEA9B,chrX:148863592-148869399,E3,E4,NOTEST,0,0,0,0,1,1
MAGEB1,chrX:30260056-30270155,E3,E4,NOTEST,0,0,0,0,1,1
MAGEB10,chrX:27826106-27841131,E3,E4,OK,0.953796,0.811833,-0.232498,-0.689026,0.2428,0.346104
MAGEB16,chrX:35816458-35821852,E3,E4,NOTEST,0,0,0,0,1,1
MAGEB18,chrX:26156459-26158853,E3,E4,NOTEST,0,0.0274844,Inf,0,1,1
MAGEB2,chrX:30233674-30238206,E3,E4,NOTEST,0,0,0,0,1,1
MAGEB3,chrX:30248552-30255610,E3,E4,NOTEST,0,0,0,0,1,1
MAGEB4,chrX:30260056-30270155,E3,E4,NOTEST,0.00591454,0,#NAME?,0,1,1
MAGEB5,chrX:26234285-26236387,E3,E4,NOTEST,0,0,0,0,1,1
MAGEB6,chrX:26210556-26213763,E3,E4,NOTEST,0,0,0,0,1,1
MAGEC1,chrX:140991641-140997187,E3,E4,NOTEST,0,0,0,0,1,1
MAGEC2,chrX:141290127-141293076,E3,E4,NOTEST,0.0202994,0,#NAME?,0,1,1
MAGEC3,chrX:140926101-140985618,E3,E4,NOTEST,0.194475,0.135794,-0.518164,0,1,1
MAGED1,chrX:51546154-51645450,E3,E4,OK,959.891,453.202,-1.08272,-7.33387,5.00E-05,0.000167183
MAGED2,chrX:54834170-54842445,E3,E4,OK,152.348,186.484,0.291681,2.00779,0.00045,0.00131916
"MAGED4,MAGED4B",chrX:51927918-51935366,E3,E4,NOTEST,1.86957,0.928976,Inf,0,1,1
MAGED4B,chrX:51927918-51935366,E3,E4,NOTEST,0,0.00604257,Inf,0,1,1
MAGEE1,chrX:75648045-75651746,E3,E4,OK,3.03567,3.71924,0.292993,1.54676,0.0055,0.012872
MAGEE2,chrX:75002822-75005079,E3,E4,NOTEST,0.0314843,0.0609553,0.953121,0,1,1
MAGEF1,chr3:184428154-184429836,E3,E4,OK,52.984,51.7115,-0.0350711,-0.234096,0.6748,0.765148
MAGEH1,chrX:55478537-55479999,E3,E4,OK,7.81779,28.3892,1.86051,10.3965,5.00E-05,0.000167183
MAGEL2,chr15:23888695-23892993,E3,E4,OK,0.958909,1.70805,0.832882,3.51511,5.00E-05,0.000167183
MAGI1,chr3:65339905-66024509,E3,E4,OK,8.63065,5.56802,-0.632304,-4.07669,5.00E-05,0.000167183
MAGI1-AS1,chr3:65339905-66024509,E3,E4,NOTEST,0,0,0,0,1,1
MAGI2,chr7:77646373-79100524,E3,E4,OK,1.80918,4.91595,1.44213,4.54333,5.00E-05,0.000167183
MAGI2-AS2,chr7:77646373-79100524,E3,E4,NOTEST,0,0,0,0,1,1
MAGI2-AS3,chr7:77646373-79100524,E3,E4,OK,8.99945,10.5857,0.234213,0.73527,0.19695,0.292021
MAGI3,chr1:113933474-114228545,E3,E4,OK,4.88839,3.11617,-0.649584,-3.87224,5.00E-05,0.000167183
MAGIX,chrX:49019180-49023836,E3,E4,OK,0.674958,0.495314,-0.446453,-0.95305,0.0846,0.144134
MAGOH,chr1:53692563-53793821,E3,E4,OK,41.1419,26.8214,-0.617223,-1.55337,0.00765,0.0173446
MAGOH2,chr17:10616638-10718481,E3,E4,OK,0.70393,0.444665,-0.662714,-0.487464,0.4103,0.524734
MAGOHB,chr12:10756363-10766208,E3,E4,OK,5.81396,3.33278,-0.802794,-4.26439,5.00E-05,0.000167183
MAGT1,chrX:77081861-77151065,E3,E4,OK,52.7655,43.1252,-0.291063,-1.99238,0.00055,0.001591
MAK,chr6:10762955-10838788,E3,E4,OK,0.296238,0.779834,1.39641,3.80041,5.00E-05,0.000167183
MAK16,chr8:33342684-33370703,E3,E4,OK,6.52767,6.37444,-0.0342679,-0.152538,0.7924,0.856366
MAL,chr2:95691399-95719737,E3,E4,OK,8.36757,3.53121,-1.24464,-4.4497,5.00E-05,0.000167183
MAL2,chr8:120220609-120257914,E3,E4,NOTEST,0,0.0703655,Inf,0,1,1
MALAT1,chr11:65265232-65273939,E3,E4,OK,726.298,497.85,-0.54485,-3.52805,5.00E-05,0.000167183
MALL,chr2:110841446-110874143,E3,E4,OK,0.754252,0.829727,0.13759,0.46452,0.40885,0.523234
MALSU1,chr7:23338939-23349180,E3,E4,OK,27.3976,29.4912,0.106237,0.595094,0.29535,0.404883
MALT1,chr18:56338617-56417370,E3,E4,OK,11.1167,27.9675,1.33102,8.86994,5.00E-05,0.000167183
MAMDC2,chr9:72658496-72873790,E3,E4,OK,3.6387,2.0454,-0.831042,-4.00131,5.00E-05,0.000167183
MAMDC4,chr9:139746818-139755251,E3,E4,OK,2.54478,1.67733,-0.601373,-2.79672,5.00E-05,0.000167183
